"","Team","Games","Team_Points","FGA","FreeThrowAtt","Offensive_Rebounds","TurnOvers","Minutes","Possesions","Possesions_Per_Game","Pace","Opps_Points","Opps_FGA","Opps_FreeThrowAtt","Opps_Offensive_Rebounds","Opps_TurnOvers","Opps_Possesions","Opps_Possesions_Per_Game","Opps_Pace","Offensive_Efficency","Deffensive_Efficency","RbdRate"
"1","Sacramento Kings",78,9466,6852,1988,721,1058,18870,8481.2,108.733333333333,107.868998410175,9227,6953,1788,754,1097,8458.2,108.438461538462,18.0009577015164,111.611564401264,108.793566948073,0.956233421750663
"2","Golden State Warriors",79,9341,7124,1585,826,1282,19110,8610.25,108.990506329114,108.135007849294,9282,7137,1990,843,1136,8723.5,111.839743589744,18.4673193966658,108.486977730031,107.801747916727,0.979833926453143
"3","Oklahoma City Thunder",79,9279,7310,1867,896,1030,19135,8657.55,109.589240506329,108.586987196237,9210,6982,2026,945,1330,8683.9,111.332051282051,18.5059136920618,107.178127761318,106.381135540655,0.948148148148148
"4","Boston Celtics",78,9232,6928,1700,747,1036,19020,8322,106.692307692308,105.009463722397,8724,7036,1664,752,999,8364.6,105.881012658228,17.577304964539,110.934871425138,104.830569574621,0.993351063829787
"5","Atlanta Hawks",78,9209,7215,1744,881,996,18870,8463.6,108.507692307692,107.645151033386,9210,7024,1810,823,1105,8482.5,108.75,18.0047758026002,108.807126990879,108.818942294059,1.07047387606318
"6","Indiana Pacers",79,9150,7086,1848,805,1174,19035,8656.2,109.572151898734,109.140425531915,9400,7025,2027,944,1189,8587.55,108.703164556962,18.0458103493564,105.704581687114,108.592685011899,0.852754237288136
"7","New York Knicks",79,9135,7032,2020,985,1022,19235,8382,106.101265822785,104.584351442683,8891,6974,1855,808,1000,8371.75,107.330128205128,17.7226779571315,108.98353614889,106.072536387497,1.21905940594059
"8","Utah Jazz",78,9134,6991,1879,931,1199,18820,8480.35,108.722435897436,108.144739638682,9186,7135,1883,876,980,8462.95,108.499358974359,17.8684613354447,107.707818663145,108.321000902085,1.06278538812785
"9","Milwaukee Bucks",78,9125,7053,1765,871,1135,18870,8464.25,108.516025641026,107.653418124006,8813,7274,1656,847,925,8428.4,108.05641025641,17.9375365788774,107.806362052161,104.120270549665,1.02833530106257
"10","Minnesota Timberwolves",79,9123,6899,1868,723,1222,19110,8612.2,109.015189873418,108.159497645212,9156,7002,2066,900,1224,8668.9,111.139743589744,18.424867162593,105.931120967929,106.314298320986,0.803333333333333
